Model,Method,K (%),Image Idx,Label,Certified (%),Abstained (%),Certified-1 (%),Certified-0 (%),Radius
densenet121,IntegratedGradients,50,3,5,1.43,98.57,0.39,1.04,0.1012
densenet121,IntegratedGradients,50,16,5,1.91,98.09,0.56,1.34,0.1012
densenet121,IntegratedGradients,50,17,0,1.37,98.63,0.71,0.66,0.1012
densenet121,IntegratedGradients,25,3,5,12.77,87.23,0.00,12.76,0.1012
densenet121,IntegratedGradients,25,16,5,13.06,86.94,0.02,13.04,0.1012
densenet121,IntegratedGradients,25,17,0,12.30,87.70,0.04,12.26,0.1012
densenet121,IntegratedGradients,5,3,5,65.75,34.25,0.00,65.75,0.1012
densenet121,IntegratedGradients,5,16,5,65.49,34.51,0.00,65.49,0.1012
densenet121,IntegratedGradients,5,17,0,67.07,32.93,0.00,67.07,0.1012
densenet121,GradCAM,50,3,5,88.58,11.42,44.46,44.11,0.1012
densenet121,GradCAM,50,16,5,88.65,11.35,44.01,44.65,0.1012
densenet121,GradCAM,50,17,0,100.00,0.00,100.00,0.00,0.1012
densenet121,GradCAM,25,3,5,89.91,10.09,19.85,70.06,0.1012
densenet121,GradCAM,25,16,5,86.20,13.80,18.31,67.88,0.1012
densenet121,GradCAM,25,17,0,100.00,0.00,100.00,0.00,0.1012
densenet121,GradCAM,5,3,5,96.00,4.00,3.35,92.64,0.1012
densenet121,GradCAM,5,16,5,91.98,8.02,1.30,90.68,0.1012
densenet121,GradCAM,5,17,0,5.01,94.99,5.01,0.00,0.1012
densenet121,RISE,50,3,5,1.12,98.88,0.13,0.99,0.1012
densenet121,RISE,50,16,5,2.18,97.82,1.58,0.60,0.1012
densenet121,RISE,50,17,0,0.56,99.44,0.50,0.06,0.1012
densenet121,RISE,25,3,5,9.72,90.28,0.00,9.71,0.1012
densenet121,RISE,25,16,5,9.18,90.82,0.00,9.18,0.1012
densenet121,RISE,25,17,0,8.56,91.44,0.00,8.56,0.1012
densenet121,RISE,5,3,5,63.44,36.56,0.00,63.44,0.1012
densenet121,RISE,5,16,5,65.72,34.28,0.00,65.72,0.1012
densenet121,RISE,5,17,0,62.97,37.03,0.00,62.97,0.1012
densenet121,Occlusion,50,3,5,40.45,59.55,23.75,16.70,0.1012
densenet121,Occlusion,50,16,5,29.62,70.38,19.22,10.40,0.1012
densenet121,Occlusion,50,17,0,18.33,81.67,6.85,11.48,0.1012
densenet121,Occlusion,25,3,5,54.51,45.49,8.16,46.35,0.1012
densenet121,Occlusion,25,16,5,42.21,57.79,5.37,36.83,0.1012
densenet121,Occlusion,25,17,0,33.24,66.76,0.99,32.24,0.1012
densenet121,Occlusion,5,3,5,91.03,8.97,1.83,89.20,0.1012
densenet121,Occlusion,5,16,5,80.89,19.11,0.18,80.72,0.1012
densenet121,LRP,50,3,5,3.33,96.67,1.57,1.76,0.1012
densenet121,LRP,50,16,5,3.16,96.84,1.47,1.69,0.1012
densenet121,LRP,25,3,5,13.80,86.20,0.04,13.76,0.1012
densenet121,LRP,25,16,5,12.96,87.04,0.06,12.89,0.1012
densenet121,LRP,5,3,5,60.91,39.09,0.00,60.91,0.1012
densenet121,LRP,5,16,5,62.31,37.69,0.00,62.31,0.1012
