Model,Method,K (%),Image Idx,Label,Certified (%),Abstained (%),Certified-1 (%),Certified-0 (%),Radius
resnet18,GradCAM,50,3,7,43.24,56.76,26.08,17.16,0.1012
resnet18,GradCAM,50,5,7,59.33,40.67,28.75,30.58,0.1012
resnet18,GradCAM,50,7,5,66.06,33.94,32.36,33.70,0.1012
resnet18,GradCAM,50,11,7,59.76,40.24,27.68,32.08,0.1012
resnet18,GradCAM,50,15,5,81.17,18.83,40.46,40.71,0.1012
resnet18,GradCAM,50,2,6,100.00,0.00,100.00,0.00,0.1012
resnet18,GradCAM,50,5,0,100.00,0.00,100.00,0.00,0.1012
resnet18,GradCAM,50,6,5,85.46,14.54,42.75,42.71,0.1012
resnet18,GradCAM,50,8,5,85.99,14.01,43.04,42.94,0.1012
resnet18,GradCAM,50,15,5,76.92,23.08,39.16,37.76,0.1012
resnet18,GradCAM,50,22,1,100.00,0.00,100.00,0.00,0.1012
resnet18,GradCAM,50,24,5,81.51,18.49,40.27,41.24,0.1012
resnet18,GradCAM,50,29,7,12.37,87.63,6.93,5.44,0.1012
resnet18,GradCAM,50,30,5,79.97,20.03,40.06,39.91,0.1012
resnet18,GradCAM,50,35,7,30.27,69.73,14.57,15.69,0.1012
resnet18,GradCAM,50,36,7,39.25,60.75,17.93,21.31,0.1012
resnet18,GradCAM,50,44,5,80.15,19.85,40.21,39.95,0.1012
resnet18,GradCAM,50,51,5,80.10,19.90,39.97,40.14,0.1012
resnet18,GradCAM,50,63,5,85.73,14.27,43.09,42.64,0.1012
resnet18,GradCAM,50,69,5,80.63,19.37,40.20,40.43,0.1012
resnet18,GradCAM,50,74,2,76.40,23.60,38.08,38.32,0.1012
resnet18,GradCAM,50,78,1,100.00,0.00,100.00,0.00,0.1012
resnet18,GradCAM,50,80,7,23.00,77.00,7.97,15.03,0.1012
resnet18,GradCAM,50,84,0,100.00,0.00,100.00,0.00,0.1012
resnet18,GradCAM,50,89,4,67.60,32.40,36.37,31.23,0.1012
resnet18,GradCAM,50,93,7,60.85,39.15,29.96,30.90,0.1012
resnet18,GradCAM,50,94,7,55.13,44.87,23.16,31.97,0.1012
resnet18,GradCAM,50,95,7,78.18,21.82,38.64,39.55,0.1012
resnet18,GradCAM,50,96,5,84.66,15.34,42.27,42.39,0.1012
resnet18,GradCAM,50,97,7,56.61,43.39,27.68,28.93,0.1012
resnet18,GradCAM,50,101,7,58.68,41.32,29.86,28.81,0.1012
resnet18,GradCAM,50,106,3,100.00,0.00,100.00,0.00,0.1012
resnet18,GradCAM,50,115,5,86.57,13.43,43.40,43.17,0.1012
resnet18,GradCAM,50,120,5,81.76,18.24,40.52,41.24,0.1012
resnet18,GradCAM,50,125,2,72.37,27.63,36.69,35.68,0.1012
resnet18,GradCAM,50,128,7,44.73,55.27,22.53,22.20,0.1012
resnet18,GradCAM,50,129,5,89.02,10.98,44.35,44.67,0.1012
resnet18,GradCAM,50,130,5,87.40,12.60,43.52,43.88,0.1012
resnet18,GradCAM,50,133,2,81.51,18.49,40.48,41.03,0.1012
resnet18,GradCAM,50,135,5,75.95,24.05,38.19,37.76,0.1012
resnet18,GradCAM,50,142,5,83.61,16.39,41.83,41.78,0.1012
resnet18,GradCAM,50,148,5,80.20,19.80,40.49,39.71,0.1012
resnet18,GradCAM,50,152,7,69.53,30.47,34.82,34.71,0.1012
resnet18,GradCAM,50,153,0,100.00,0.00,100.00,0.00,0.1012
resnet18,GradCAM,50,158,2,71.73,28.27,36.33,35.40,0.1012
resnet18,GradCAM,50,161,5,83.27,16.73,41.51,41.76,0.1012
resnet18,GradCAM,50,162,6,100.00,0.00,100.00,0.00,0.1012
resnet18,GradCAM,50,163,5,86.80,13.20,43.22,43.58,0.1012
resnet18,GradCAM,50,165,5,80.59,19.41,40.31,40.28,0.1012
resnet18,GradCAM,50,168,7,71.05,28.95,35.83,35.22,0.1012
resnet18,GradCAM,50,169,4,69.21,30.79,34.91,34.30,0.1012
