Model,Method,K (%),Image Idx,Label,Certified (%),Abstained (%),Certified-1 (%),Certified-0 (%),Radius
densenet121,GradCAM,50,0,5,85.75,14.25,42.71,43.04,0.1012
densenet121,GradCAM,50,1,3,100.00,0.00,100.00,0.00,0.1012
densenet121,GradCAM,50,3,2,90.15,9.85,44.89,45.26,0.1012
densenet121,GradCAM,50,6,5,86.15,13.85,43.03,43.12,0.1012
densenet121,GradCAM,50,15,5,88.29,11.71,43.99,44.30,0.1012
densenet121,GradCAM,25,0,5,84.13,15.87,17.25,66.88,0.1012
densenet121,GradCAM,25,1,3,100.00,0.00,100.00,0.00,0.1012
densenet121,GradCAM,25,3,2,93.35,6.65,21.71,71.64,0.1012
densenet121,GradCAM,25,6,5,92.96,7.04,21.59,71.37,0.1012
densenet121,GradCAM,25,15,5,88.33,11.67,19.31,69.02,0.1012
densenet121,GradCAM,5,0,5,88.91,11.09,0.26,88.65,0.1012
densenet121,GradCAM,5,1,3,100.00,0.00,100.00,0.00,0.1012
densenet121,GradCAM,5,3,2,96.71,3.29,3.39,93.32,0.1012
densenet121,GradCAM,5,6,5,98.49,1.51,4.26,94.23,0.1012
densenet121,GradCAM,5,15,5,91.65,8.35,0.75,90.89,0.1012
densenet121,IntegratedGradients,50,0,5,8.00,92.00,0.20,7.80,0.1012
densenet121,IntegratedGradients,50,1,3,4.70,95.30,0.05,4.65,0.1012
densenet121,IntegratedGradients,50,3,2,52.24,47.76,22.98,29.27,0.1012
densenet121,IntegratedGradients,50,6,5,27.82,72.18,25.56,2.26,0.1012
densenet121,IntegratedGradients,50,15,5,5.44,94.56,0.02,5.41,0.1012
densenet121,IntegratedGradients,25,0,5,22.24,77.76,0.02,22.21,0.1012
densenet121,IntegratedGradients,25,1,3,12.95,87.05,0.01,12.94,0.1012
densenet121,IntegratedGradients,25,3,2,50.87,49.13,0.24,50.64,0.1012
densenet121,IntegratedGradients,25,6,5,66.40,33.60,1.30,65.10,0.1012
densenet121,IntegratedGradients,25,15,5,18.55,81.45,0.00,18.54,0.1012
densenet121,IntegratedGradients,5,0,5,89.98,10.02,0.00,89.98,0.1012
densenet121,IntegratedGradients,5,1,3,91.23,8.77,0.00,91.23,0.1012
densenet121,IntegratedGradients,5,3,2,82.63,17.37,0.00,82.63,0.1012
densenet121,IntegratedGradients,5,6,5,80.81,19.19,0.00,80.81,0.1012
densenet121,IntegratedGradients,5,15,5,89.47,10.53,0.00,89.47,0.1012
densenet121,RISE,50,0,5,0.00,100.00,0.00,0.00,0.1012
densenet121,RISE,50,1,3,0.00,100.00,0.00,0.00,0.1012
densenet121,RISE,50,3,2,12.13,87.87,12.12,0.00,0.1012
densenet121,RISE,50,6,5,2.90,97.10,0.00,2.90,0.1012
densenet121,RISE,50,15,5,0.00,100.00,0.00,0.00,0.1012
densenet121,RISE,25,0,5,3.04,96.96,0.00,3.04,0.1012
densenet121,RISE,25,1,3,13.49,86.51,0.00,13.49,0.1012
densenet121,RISE,25,3,2,43.00,57.00,3.16,39.84,0.1012
densenet121,RISE,25,6,5,17.11,82.89,0.00,17.11,0.1012
densenet121,RISE,25,15,5,1.03,98.97,0.00,1.03,0.1012
densenet121,RISE,5,0,5,92.10,7.90,0.00,92.10,0.1012
densenet121,RISE,5,1,3,89.16,10.84,0.00,89.16,0.1012
densenet121,RISE,5,3,2,87.08,12.92,0.00,87.08,0.1012
densenet121,RISE,5,6,5,88.29,11.71,0.00,88.29,0.1012
densenet121,RISE,5,15,5,93.12,6.88,0.00,93.12,0.1012
densenet121,Occlusion,50,0,5,23.03,76.97,11.33,11.69,0.1012
densenet121,Occlusion,50,1,3,9.39,90.61,6.38,3.02,0.1012
densenet121,Occlusion,50,3,2,60.86,39.14,30.98,29.87,0.1012
densenet121,Occlusion,50,6,5,48.62,51.38,22.45,26.17,0.1012
densenet121,Occlusion,50,15,5,33.66,66.34,18.42,15.24,0.1012
densenet121,Occlusion,25,0,5,47.69,52.31,5.08,42.61,0.1012
densenet121,Occlusion,25,1,3,21.31,78.69,0.97,20.34,0.1012
densenet121,Occlusion,25,3,2,73.33,26.67,12.56,60.77,0.1012
densenet121,Occlusion,25,6,5,53.97,46.03,4.18,49.79,0.1012
densenet121,Occlusion,25,15,5,70.51,29.49,14.54,55.97,0.1012
densenet121,Occlusion,5,0,5,93.37,6.63,1.54,91.83,0.1012
densenet121,Occlusion,5,1,3,90.38,9.62,0.00,90.38,0.1012
densenet121,Occlusion,5,3,2,94.98,5.02,2.54,92.45,0.1012
densenet121,Occlusion,5,6,5,90.58,9.42,0.74,89.84,0.1012
densenet121,Occlusion,5,15,5,94.48,5.52,2.40,92.08,0.1012
densenet121,LRP,50,0,5,1.63,98.37,0.24,1.40,0.1012
densenet121,LRP,50,1,3,0.78,99.22,0.01,0.76,0.1012
densenet121,LRP,50,3,2,10.14,89.86,8.59,1.55,0.1012
densenet121,LRP,50,6,5,3.99,96.01,3.64,0.35,0.1012
densenet121,LRP,50,15,5,0.81,99.19,0.10,0.71,0.1012
densenet121,LRP,25,0,5,10.11,89.89,0.00,10.11,0.1012
densenet121,LRP,25,1,3,7.60,92.40,0.00,7.60,0.1012
densenet121,LRP,25,3,2,26.15,73.85,0.09,26.05,0.1012
densenet121,LRP,25,6,5,10.80,89.20,0.00,10.80,0.1012
densenet121,LRP,25,15,5,10.22,89.78,0.00,10.22,0.1012
densenet121,LRP,5,0,5,97.14,2.86,0.00,97.14,0.1012
densenet121,LRP,5,1,3,98.81,1.19,0.00,98.81,0.1012
densenet121,LRP,5,3,2,91.81,8.19,0.00,91.81,0.1012
densenet121,LRP,5,6,5,95.68,4.32,0.00,95.68,0.1012
densenet121,LRP,5,15,5,98.04,1.96,0.00,98.04,0.1012
efficientnet_b0,GradCAM,50,2,2,92.83,7.17,46.48,46.36,0.1012
efficientnet_b0,GradCAM,50,3,3,97.24,2.76,48.59,48.65,0.1012
efficientnet_b0,GradCAM,50,6,5,95.50,4.50,47.74,47.75,0.1012
efficientnet_b0,GradCAM,50,14,4,89.08,10.92,44.48,44.60,0.1012
efficientnet_b0,GradCAM,50,16,1,88.71,11.29,44.14,44.57,0.1012
efficientnet_b0,GradCAM,25,2,2,96.00,4.00,22.98,73.02,0.1012
efficientnet_b0,GradCAM,25,3,3,96.17,3.83,23.12,73.05,0.1012
efficientnet_b0,GradCAM,25,6,5,91.50,8.50,20.50,71.00,0.1012
efficientnet_b0,GradCAM,25,14,4,84.37,15.63,17.14,67.23,0.1012
efficientnet_b0,GradCAM,25,16,1,82.39,17.61,16.31,66.08,0.1012
efficientnet_b0,GradCAM,5,2,2,98.97,1.03,4.49,94.47,0.1012
efficientnet_b0,GradCAM,5,3,3,96.00,4.00,3.27,92.73,0.1012
efficientnet_b0,GradCAM,5,6,5,95.11,4.89,2.63,92.47,0.1012
efficientnet_b0,GradCAM,5,14,4,92.69,7.31,1.76,90.92,0.1012
efficientnet_b0,GradCAM,5,16,1,93.45,6.55,1.78,91.67,0.1012
efficientnet_b0,IntegratedGradients,50,2,2,2.62,97.38,0.80,1.83,0.1012
efficientnet_b0,IntegratedGradients,50,3,3,0.94,99.06,0.02,0.92,0.1012
efficientnet_b0,IntegratedGradients,50,6,5,1.21,98.79,0.58,0.64,0.1012
efficientnet_b0,IntegratedGradients,50,14,4,34.12,65.88,8.17,25.95,0.1012
efficientnet_b0,IntegratedGradients,50,16,1,31.40,68.60,6.12,25.28,0.1012
efficientnet_b0,IntegratedGradients,25,2,2,33.64,66.36,0.01,33.63,0.1012
efficientnet_b0,IntegratedGradients,25,3,3,19.95,80.05,0.00,19.95,0.1012
